i,vulnerable,exposed,infected,recovered
1,9999,0,1,0

2,9995,4,1,0

3,9992,5,3,0

4,9990,2,8,0

5,9983,8,9,0

6,9977,7,16,0

7,9968,10,22,0

8,9959,15,26,0

9,9949,17,33,1

10,9941,14,43,2

11,9930,13,53,4

12,9915,20,59,6

13,9903,20,68,9

14,9889,19,79,13

15,9866,30,89,15

16,9850,29,98,23

17,9835,27,108,30

18,9814,31,117,38

19,9799,24,133,44

20,9768,36,146,50

21,9747,38,152,63

22,9725,35,165,75

23,9702,36,172,90

24,9671,45,183,101

25,9646,40,201,113

26,9614,47,211,128

27,9582,48,224,146

28,9554,46,233,167

29,9520,51,252,177

30,9487,50,269,194

31,9444,63,275,218

32,9416,53,286,245

33,9374,52,297,277

34,9337,63,295,305

35,9303,52,313,332

36,9259,63,317,361

37,9213,72,326,389

38,9170,62,346,422

39,9115,78,357,450

40,9074,70,369,487

41,9035,60,380,525

42,8979,71,392,558

43,8930,79,399,592

44,8876,78,418,628

45,8821,79,438,662

46,8771,77,442,710

47,8708,91,458,743

48,8664,78,473,785

49,8598,90,478,834

50,8537,95,484,884

51,8485,83,498,934

52,8423,87,514,976

53,8351,101,532,1016

54,8294,97,531,1078

55,8233,97,535,1135

56,8170,94,559,1177

57,8102,101,567,1230

58,8034,101,570,1295

59,7959,108,569,1364

60,7896,105,572,1427

61,7818,116,589,1477

62,7743,112,613,1532

63,7672,111,627,1590

64,7600,112,641,1647

65,7534,103,656,1707

66,7451,117,658,1774

67,7367,121,666,1846

68,7285,122,692,1901

69,7203,133,693,1971

70,7138,108,716,2038

71,7046,123,720,2111

72,6960,138,727,2175

73,6879,123,741,2257

74,6784,135,758,2323

75,6705,124,773,2398

76,6600,149,776,2475

77,6503,153,789,2555

78,6402,148,830,2620

79,6309,156,837,2698

80,6220,135,859,2786

81,6125,142,872,2861

82,6023,143,878,2956

83,5920,153,881,3046

84,5823,141,910,3126

85,5708,170,915,3207

86,5609,159,939,3293

87,5497,155,949,3399

88,5399,154,955,3492

89,5279,166,978,3577

90,5166,176,983,3675

91,5055,175,988,3782

92,4949,155,1016,3880

93,4825,179,1020,3976

94,4720,170,1031,4079

95,4595,183,1040,4182

96,4469,192,1044,4295

97,4368,167,1072,4393

98,4235,191,1084,4490

99,4120,181,1091,4608

100,3996,186,1089,4729

101,3880,164,1114,4842

102,3738,185,1114,4963

103,3607,204,1119,5070

104,3488,184,1149,5179

105,3350,204,1138,5308

106,3226,193,1186,5395

107,3098,186,1203,5513

108,2964,199,1194,5643

109,2821,204,1201,5774

110,2663,227,1211,5899

111,2518,225,1242,6015

112,2397,199,1268,6136

113,2240,217,1277,6266

114,2106,205,1298,6391

115,1950,214,1316,6520

116,1817,205,1310,6668

117,1673,212,1333,6782

118,1534,226,1327,6913

119,1416,187,1341,7056

120,1297,192,1325,7186

121,1185,175,1317,7323

122,1073,170,1285,7472

123,997,135,1257,7611

124,902,135,1212,7751

125,835,114,1152,7899

126,754,122,1090,8034

127,694,100,1033,8173

128,643,80,975,8302

129,574,94,905,8427

130,524,84,835,8557

131,467,84,778,8671

132,426,72,718,8784

133,375,74,658,8893

134,343,60,610,8987

135,301,56,556,9087

136,263,56,521,9160

137,232,51,496,9221

138,200,41,482,9277

139,169,40,452,9339

140,142,43,421,9394

141,119,37,384,9460

142,97,36,348,9519

143,83,26,331,9560

144,70,21,305,9604

145,57,20,284,9639

146,43,19,251,9687

147,32,15,235,9718

148,24,13,215,9748

149,21,10,188,9781

150,11,12,163,9814

151,8,8,146,9838

152,5,5,134,9856

153,2,6,108,9884

154,0,3,90,9907

155,0,1,76,9923

156,0,0,64,9936

157,0,0,49,9951

158,0,0,40,9960

159,0,0,37,9963

160,0,0,28,9972

161,0,0,20,9980

162,0,0,16,9984

163,0,0,13,9987

164,0,0,5,9995

165,0,0,4,9996

166,0,0,3,9997

167,0,0,1,9999

168,0,0,0,10000

